level,name,Total population,Population under age 18,Percent under age 18,Population ages 18+,Percent ages 18+,Population ages 65+,Percent ages 65+,Male population,Percent male,Female population,Percent female,White population,Percent white,Black population,Percent black,Latino population,Percent Latino,Other race population,Percent other race,Foreign-born population,Percent foreign-born,Total households,Owner-occupied households,Homeownership rate,Cost-burdened households,Cost-burden rate,Households with 1+ vehicles,"Percent of households, 1+ vehicles",Adults ages 25+,Adults without high school diploma,"Percent of adults, no high school diploma",Adults with bachelor's or higher,"Percent of adults, bachelor's or higher",Median household income,Poverty status known,Population in poverty,Poverty rate,Low-income population,Low-income rate,"Under 18, poverty status known",Children in poverty,Child poverty rate,Low-income children,Child low-income rate,"Ages 65+, poverty status known",Seniors in poverty,Senior poverty rate,Low-income seniors,Senior low-income rate
6_town,Bethany,5280,1061,0.2,4219,0.8,974,0.18,2718,0.51,2562,0.49,4771,0.9,191,0.04,92,0.02,226,0.04,445,0.08,1816,1738,0.96,394,0.22,1816,1,3725,130,0.03,2193,0.59,153879,5191,38,0.01,231,0.04,974,0,0,0,0,974,20,0.02,127,0.13
6_town,Branford,28090,3970,0.14,24120,0.86,8078,0.29,13531,0.48,14559,0.52,23745,0.85,865,0.03,1506,0.05,1974,0.07,2752,0.1,13103,8759,0.67,4502,0.35,12429,0.95,22723,818,0.04,11249,0.5,97223,27826,1843,0.07,4374,0.16,3920,371,0.09,599,0.15,7871,484,0.06,1442,0.18
6_town,East Haven,27729,4751,0.17,22978,0.83,5665,0.2,12967,0.47,14762,0.53,20283,0.73,1043,0.04,5348,0.19,1055,0.04,2884,0.1,11282,8454,0.75,3973,0.36,10556,0.94,20768,1724,0.08,5201,0.25,86498,27434,2198,0.08,5971,0.22,4658,405,0.09,1230,0.26,5484,646,0.12,1467,0.27
6_town,Guilford,22037,4773,0.22,17264,0.78,5774,0.26,11047,0.5,10990,0.5,19082,0.87,350,0.02,970,0.04,1635,0.07,1808,0.08,8770,7448,0.85,2722,0.31,8541,0.97,16012,359,0.02,9224,0.58,130036,21905,674,0.03,2506,0.11,4772,72,0.02,500,0.1,5653,232,0.04,1039,0.18
6_town,Hamden,60297,10522,0.17,49775,0.83,10684,0.18,28937,0.48,31360,0.52,33070,0.55,14150,0.23,8043,0.13,5034,0.08,7944,0.13,23195,14406,0.62,8095,0.36,21354,0.92,41017,2375,0.06,19132,0.47,92176,55000,5160,0.09,11717,0.21,10255,1079,0.11,2712,0.26,10227,685,0.07,2185,0.21
6_town,Madison,17577,3334,0.19,14243,0.81,4307,0.25,8820,0.5,8757,0.5,15414,0.88,157,0.01,519,0.03,1487,0.08,1509,0.09,6879,6230,0.91,1672,0.25,6696,0.97,13211,187,0.01,9479,0.72,168341,17422,332,0.02,781,0.04,3310,0,0,0,0,4231,130,0.03,352,0.08
6_town,Meriden,60418,13049,0.22,47369,0.78,9224,0.15,29072,0.48,31346,0.52,29710,0.49,4463,0.07,22777,0.38,3468,0.06,6417,0.11,24709,14798,0.6,9287,0.38,22228,0.9,42163,5754,0.14,9363,0.22,68617,59733,8461,0.14,20565,0.34,12935,2927,0.23,6987,0.54,8761,848,0.1,2604,0.3
6_town,Milford,52340,8832,0.17,43508,0.83,11253,0.21,25224,0.48,27116,0.52,42012,0.8,1357,0.03,4679,0.09,4292,0.08,5436,0.1,22098,16971,0.77,6615,0.3,21186,0.96,39912,1597,0.04,19496,0.49,109580,51921,2305,0.04,6037,0.12,8758,371,0.04,1081,0.12,10982,549,0.05,1554,0.14
6_town,New Haven,132893,28710,0.22,104183,0.78,15578,0.12,63515,0.48,69378,0.52,38974,0.29,38597,0.29,41503,0.31,13819,0.1,23526,0.18,53424,15157,0.28,25205,0.49,39799,0.74,84441,11853,0.14,31866,0.38,53771,125166,31269,0.25,58011,0.46,28075,10060,0.36,17732,0.63,15195,2895,0.19,6993,0.46
6_town,North Branford,13487,2518,0.19,10969,0.81,3043,0.23,6763,0.5,6724,0.5,12102,0.9,61,0,578,0.04,746,0.06,697,0.05,5015,4424,0.88,1315,0.27,4856,0.97,9772,443,0.05,3465,0.35,113687,13439,463,0.03,1680,0.13,2505,34,0.01,231,0.09,3016,160,0.05,590,0.2
